level_0,index,Unnamed: 0,title,comment,date,platform,product,is.flavor,is.packaging,is.expiration,is.price,is.source,is.logistic,is.ingredient,sentiment_score
920,945,1134,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,买给家人吃的，辅助调理还是有效果,2021-01-24 22:26,JD.com,SLEEP,False,False,False,False,False,False,False,0.8699831942760442
924,949,1138,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,商品效果不错,2021-01-03 20:56,JD.com,SLEEP,False,False,False,False,False,False,False,0.8890273539595915
929,954,1143,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,可以啊效果好,2020-12-18 09:56,JD.com,SLEEP,False,False,False,False,False,False,False,0.7443227020261274
930,955,1144,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,第二次回购了，我用有效果哦,2020-12-15 21:41,JD.com,SLEEP,False,False,False,False,False,False,False,0.6291739894551844
932,957,1146,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,效果感觉不错，但是用了一段时间才来评价，用了几天，感觉还可以，挺好的。,2020-12-15 02:13,JD.com,SLEEP,False,False,False,False,False,False,False,0.9119647927289066
933,958,1147,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,效果不错。,2020-12-10 20:38,JD.com,SLEEP,False,False,False,False,False,False,False,0.9045686218004112
939,964,1153,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,感觉没什么效果的样子。不过味道还不错。,2020-11-14 12:54,JD.com,SLEEP,False,False,False,False,False,False,False,0.6280211030408838
941,966,1155,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,产品不错，吃了效果显著，味道跟糖糖一样哈，可以睡个好觉了,2020-11-09 08:34,JD.com,SLEEP,False,False,False,False,False,False,False,0.6221181851809222
943,968,1157,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,味道好吃但是效果还可以,2020-10-20 14:16,JD.com,SLEEP,False,False,False,False,False,False,False,0.6998194132507847
944,969,1158,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,睡眠软糖收到了，看起来不错，试试效果,2020-10-13 10:03,JD.com,SLEEP,False,False,False,False,False,False,False,0.8228901999870786
947,972,1161,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,还没吃也不知道效果如何？,2020-11-30 18:07,JD.com,SLEEP,False,False,False,False,False,False,False,0.31918898234655924
949,974,1163,BUFFX 软糖 舒缓放松 sleep安睡0糖GABA 20粒60g【图片 价格 品牌 报价】-京东,还没有吃呢，不知道有没有效果，以后再说吧,2020-11-10 19:35,JD.com,SLEEP,False,False,False,False,False,False,False,0.30613660421113376
